SIEC (Labels),Total,Solid fossil fuels,Natural gas,Oil and petroleum products (excluding biofuel portion),Renewables and biofuels,Nuclear heat,Other
EU(27),1379146.663,140313.408,327127.545,475747.723,239960.332,175175.075,20822.581000000002
Italy,144034.889,5094.549,58285.821,47350.988,29344.686,0.000,3958.8460000000005
